,Date,Price
0,2003-06-09,74.59
1,2003-06-16,74.47
2,2003-06-23,74.42
3,2003-06-30,74.35
4,2003-07-07,74.28
5,2003-07-14,74.21
6,2003-07-21,75.07
7,2003-07-28,75.1
8,2003-08-04,75.12
9,2003-08-11,75.44
10,2003-08-18,75.81
11,2003-08-26,76.05
12,2003-09-01,76.13
13,2003-09-08,76.23
14,2003-09-15,76.2
15,2003-09-22,76.15
16,2003-09-29,76.08
17,2003-10-06,76.43
18,2003-10-13,75.9
19,2003-10-20,76.05
20,2003-10-27,76.0
21,2003-11-03,76.0
22,2003-11-10,75.94
23,2003-11-17,75.93
24,2003-11-24,76.02
25,2003-12-01,76.0
26,2003-12-08,75.97
27,2003-12-15,75.96
28,2003-12-22,75.92
29,2003-12-29,75.94
30,2004-01-05,75.88
31,2004-01-12,75.9
32,2004-01-19,76.36
33,2004-01-26,76.44
34,2004-02-02,76.48
35,2004-02-09,76.5
36,2004-02-16,76.44
37,2004-02-23,76.38
38,2004-03-01,76.32
39,2004-03-08,76.73
40,2004-03-15,77.39
41,2004-03-22,77.44
42,2004-03-29,77.59
43,2004-04-05,77.86
44,2004-04-12,77.88
45,2004-04-19,78.04
46,2004-04-26,78.4
47,2004-05-04,79.28
48,2004-05-10,80.3
49,2004-05-17,81.49
50,2004-05-24,82.13
51,2004-05-31,82.35
52,2004-06-07,82.44
53,2004-06-14,81.54
54,2004-06-21,81.04
55,2004-06-28,80.41
56,2004-07-05,79.87
57,2004-07-12,80.34
58,2004-07-19,80.84
59,2004-07-26,80.87
60,2004-08-02,80.86
61,2004-08-09,81.18
62,2004-08-16,81.25
63,2004-08-23,81.51
64,2004-08-31,81.53
65,2004-09-06,81.37
66,2004-09-13,81.31
67,2004-09-20,81.28
68,2004-09-27,81.63
69,2004-10-04,82.05
70,2004-10-11,83.11
71,2004-10-18,83.35
72,2004-10-25,83.94
73,2004-11-01,84.27
74,2004-11-08,84.34
75,2004-11-15,84.26
76,2004-11-22,81.46
77,2004-11-29,84.17
78,2004-12-06,84.06
79,2004-12-13,182.73
80,2004-12-20,81.46
81,2004-12-27,81.2
82,2005-01-03,81.17
83,2005-01-10,79.84
84,2005-01-17,78.93
85,2005-01-24,78.93
86,2005-01-31,79.54
87,2005-02-07,79.84
88,2005-02-14,80.03
89,2005-02-21,80.15
90,2005-02-28,80.45
91,2005-03-07,81.16
92,2005-03-14,81.64
93,2005-03-21,82.7
94,2005-03-28,83.4
95,2005-04-04,83.91
96,2005-04-11,85.61
97,2005-04-18,85.63
98,2005-04-25,85.51
99,2005-05-02,85.44
100,2005-05-09,85.36
101,2005-05-16,85.27
102,2005-05-23,84.77
103,2005-05-30,84.18
104,2005-06-06,84.01
105,2005-06-13,84.99
106,2005-06-20,85.52
107,2005-06-27,86.73
108,2005-07-04,87.49
109,2005-07-11,87.73
110,2005-07-18,88.55
111,2005-07-25,89.0
112,2005-08-01,89.25
113,2005-08-08,89.67
114,2005-08-15,90.56
115,2005-08-22,90.77
116,2005-08-29,91.42
117,2005-09-05,94.37
118,2005-09-12,95.07
119,2005-09-19,94.41
120,2005-09-26,93.33
121,2005-10-03,93.51
122,2005-10-10,94.25
123,2005-10-17,94.14
124,2005-10-24,93.47
125,2005-11-07,92.47
126,2005-11-14,90.53
127,2005-11-21,88.61
128,2005-11-28,87.35
129,2005-12-05,87.35
130,2005-12-12,87.2
131,2005-12-19,87.56
132,2005-12-26,87.88
133,2006-01-02,88.03
134,2006-01-09,88.56
135,2006-01-16,89.01
136,2006-01-23,89.55
137,2006-01-30,89.88
138,2006-02-06,89.73
139,2006-02-13,89.65
140,2006-02-20,89.6
141,2006-02-27,189.51
142,2006-03-06,89.37
143,2006-03-13,89.55
144,2006-03-20,90.19
145,2006-03-27,91.16
146,2006-04-03,91.78
147,2006-04-10,92.77
148,2006-04-18,94.23
149,2006-04-24,95.35
150,2006-05-01,96.13
151,2006-05-08,96.46
152,2006-05-15,96.39
153,2006-05-22,96.1
154,2006-05-29,95.36
155,2006-06-05,95.24
156,2006-06-12,95.49
157,2006-06-19,95.44
158,2006-06-26,94.97
159,2006-07-03,95.27
160,2006-07-10,95.69
161,2006-07-17,96.88
162,2006-07-24,97.78
163,2006-07-31,97.83
164,2006-08-07,98.05
165,2006-08-14,97.82
166,2006-08-21,95.74
167,2006-08-28,94.4
168,2006-09-04,92.88
169,2006-09-11,91.48
170,2006-09-18,89.78
171,2006-09-25,88.2
172,2006-10-02,86.95
173,2006-10-09,86.6
174,2006-10-16,85.91
175,2006-10-23,85.74
176,2006-10-30,85.6
177,2006-11-06,85.54
178,2006-11-13,85.49
179,2006-11-27,85.47
180,2006-12-04,85.46
181,2006-12-11,87.44
182,2006-12-18,87.7
183,2006-12-25,87.9
184,2007-01-01,87.85
185,2007-01-08,87.66
186,2007-01-15,87.1
187,2007-01-22,86.28
188,2007-01-29,85.66
189,2007-02-05,85.62
190,2007-02-12,86.12
191,2007-02-19,86.6
192,2007-02-26,87.07
193,2007-03-05,87.74
194,2007-03-12,88.48
195,2007-03-19,88.93
196,2007-03-26,89.32
197,2007-04-02,90.47
198,2007-04-10,91.18
199,2007-04-16,91.99
200,2007-04-23,92.93
201,2007-04-30,93.45
202,2007-05-07,94.43
203,2007-05-14,95.07
204,2007-05-21,95.71
205,2007-05-28,96.16
206,2007-06-04,96.51
207,2007-06-11,96.61
208,2007-06-18,96.56
209,2007-06-25,96.54
210,2007-07-02,96.36
211,2007-07-09,96.2
212,2007-07-16,96.21
213,2007-07-23,96.23
214,2007-07-30,96.2
215,2007-08-06,96.15
216,2007-08-13,96.0
217,2007-08-20,95.31
218,2007-08-27,95.0
219,2007-09-03,94.8
220,2007-09-10,94.63
221,2007-09-17,94.65
222,2007-09-24,94.91
223,2007-10-01,96.39
224,2007-10-08,97.14
225,2007-10-15,97.19
226,2007-10-22,97.81
227,2007-10-29,98.26
228,2007-11-05,99.36
229,2007-11-12,100.74
230,2007-11-19,101.47
231,2007-11-26,102.13
232,2007-12-03,102.58
233,2007-12-10,102.67
234,2007-12-17,102.6
235,2007-12-24,102.53
236,2007-12-31,102.66
237,2008-01-07,103.37
238,2008-01-14,103.82
239,2008-01-21,104.22
240,2008-01-28,104.22
241,2008-02-04,104.03
242,2008-02-11,103.67
243,2008-02-18,103.7
244,2008-02-25,104.65
245,2008-03-03,105.24
246,2008-03-10,105.96
247,2008-03-17,106.41
248,2008-03-24,106.9
249,2008-03-31,107.1
250,2008-04-07,107.24
251,2008-04-14,107.61
252,2008-04-21,108.57
253,2008-04-28,109.5
254,2008-05-05,110.3
255,2008-05-12,111.04
256,2008-05-19,112.96
257,2008-05-26,114.79
258,2008-06-02,116.03
259,2008-06-09,116.86
260,2008-06-16,117.69
261,2008-06-23,118.44
262,2008-06-30,118.84
263,2008-07-07,119.28
264,2008-07-14,119.44
265,2008-07-21,119.4
266,2008-07-28,116.91
267,2008-08-04,115.06
268,2008-08-11,113.92
269,2008-08-18,112.22
270,2008-08-25,112.02
271,2008-09-01,112.2
272,2008-09-08,112.55
273,2008-09-15,112.51
274,2008-09-22,110.81
275,2008-09-29,109.85
276,2008-10-06,109.45
277,2008-10-13,107.04
278,2008-10-20,102.66
279,2008-10-27,98.62
280,2008-11-03,97.4
281,2008-11-10,95.89
282,2008-11-17,94.83
283,2008-11-24,92.79
284,2008-12-01,91.47
285,2008-12-08,90.16
286,2008-12-15,89.07
287,2008-12-22,88.01
288,2008-12-29,87.34
289,2009-01-05,85.42
290,2009-01-12,86.02
291,2009-01-19,86.19
292,2009-01-26,87.42
293,2009-02-02,88.16
294,2009-02-09,89.28
295,2009-02-16,90.12
296,2009-02-23,90.33
297,2009-03-02,90.28
298,2009-03-09,90.15
299,2009-03-16,90.16
300,2009-03-23,90.16
301,2009-03-30,91.35
302,2009-04-06,93.72
303,2009-04-13,94.11
304,2009-04-20,94.62
305,2009-04-27,95.13
306,2009-05-04,95.6
307,2009-05-11,96.59
308,2009-05-18,97.54
309,2009-05-25,98.9
310,2009-06-01,99.39
311,2009-06-08,100.59
312,2009-06-15,101.98
313,2009-06-22,102.81
314,2009-06-29,103.3
315,2009-07-06,103.57
316,2009-07-13,102.78
317,2009-07-20,102.22
318,2009-07-27,102.17
319,2009-08-03,102.36
320,2009-08-10,103.01
321,2009-08-17,103.96
322,2009-08-24,104.7
323,2009-08-31,105.11
324,2009-09-07,106.85
325,2009-09-14,106.43
326,2009-09-21,105.96
327,2009-09-28,105.44
328,2009-10-05,104.87
329,2009-10-12,104.71
330,2009-10-19,105.08
331,2009-10-26,106.76
332,2009-11-02,107.43
333,2009-11-09,108.1
334,2009-11-16,108.48
335,2009-11-23,108.73
