Date,Price,Year,Month,Day
2003-06-09,74.59,2003,June,Monday
2003-06-16,74.47,2003,June,Monday
2003-06-23,74.42,2003,June,Monday
2003-06-30,74.35,2003,June,Monday
2003-07-07,74.28,2003,July,Monday
2003-07-14,74.21,2003,July,Monday
2003-07-21,75.07,2003,July,Monday
2003-07-28,75.1,2003,July,Monday
2003-08-04,75.12,2003,August,Monday
2003-08-11,75.44,2003,August,Monday
2003-08-18,75.81,2003,August,Monday
2003-08-26,76.05,2003,August,Tuesday
2003-09-01,76.13,2003,September,Monday
2003-09-08,76.23,2003,September,Monday
2003-09-15,76.2,2003,September,Monday
2003-09-22,76.15,2003,September,Monday
2003-09-29,76.08,2003,September,Monday
2003-10-06,76.43,2003,October,Monday
2003-10-13,75.9,2003,October,Monday
2003-10-20,76.05,2003,October,Monday
2003-10-27,76.0,2003,October,Monday
2003-11-03,76.0,2003,November,Monday
2003-11-10,75.94,2003,November,Monday
2003-11-17,75.93,2003,November,Monday
2003-11-24,76.02,2003,November,Monday
2003-12-01,76.0,2003,December,Monday
2003-12-08,75.97,2003,December,Monday
2003-12-15,75.96,2003,December,Monday
2003-12-22,75.92,2003,December,Monday
2003-12-29,75.94,2003,December,Monday
2004-01-05,75.88,2004,January,Monday
2004-01-12,75.9,2004,January,Monday
2004-01-19,76.36,2004,January,Monday
2004-01-26,76.44,2004,January,Monday
2004-02-02,76.48,2004,February,Monday
2004-02-09,76.5,2004,February,Monday
2004-02-16,76.44,2004,February,Monday
2004-02-23,76.38,2004,February,Monday
2004-03-01,76.32,2004,March,Monday
2004-03-08,76.73,2004,March,Monday
2004-03-15,77.39,2004,March,Monday
2004-03-22,77.44,2004,March,Monday
2004-03-29,77.59,2004,March,Monday
2004-04-05,77.86,2004,April,Monday
2004-04-12,77.88,2004,April,Monday
2004-04-19,78.04,2004,April,Monday
2004-04-26,78.4,2004,April,Monday
2004-05-04,79.28,2004,May,Tuesday
2004-05-10,80.3,2004,May,Monday
2004-05-17,81.49,2004,May,Monday
2004-05-24,82.13,2004,May,Monday
2004-05-31,82.35,2004,May,Monday
2004-06-07,82.44,2004,June,Monday
2004-06-14,81.54,2004,June,Monday
2004-06-21,81.04,2004,June,Monday
2004-06-28,80.41,2004,June,Monday
2004-07-05,79.87,2004,July,Monday
2004-07-12,80.34,2004,July,Monday
2004-07-19,80.84,2004,July,Monday
2004-07-26,80.87,2004,July,Monday
2004-08-02,80.86,2004,August,Monday
2004-08-09,81.18,2004,August,Monday
2004-08-16,81.25,2004,August,Monday
2004-08-23,81.51,2004,August,Monday
2004-08-31,81.53,2004,August,Tuesday
